id;bankszamla_devizanem;bankszamla_giro;bankszamla_iban;statusz
1;worth yahoo athwart;beneath tense;devoted;grouper roger
2;hippodrome until in;ha dark;bug;or whose
3;motor;pro;smoothly joyously;orient indeed while
4;now;zowie dearly wherever;wrongly reboot;if
5;righteously;apropos efface;grandiose vestment;however drat than
6;past louse minty;mammoth important swerve;vision sturdy per;unabashedly
7;at lounge;summarise;round;before gee unlearn
8;than;arrogantly ordinary;so;for deselect painfully
9;curse yet;yuck pertinent litter;see hmph plus;astride rigidly
10;how promptly meanwhile;shiny rubbery unless;inasmuch drive expensive;huzzah miserably analogy
