id;ervenyesseg_kezdete;brutto_havi_munkaber_vagy_napdij;munkaszerzodes;teljes_koltseg
1;2025-09-15;11408.1;realistic;26935.34
2;2025-09-15;21946.72;minor consequently widow;4492.16
3;2025-09-15;8389.05;separately provided because;25612.82
4;2025-09-14;31872;hm;5573.91
5;2025-09-15;3889.9;impassioned yowza;32452.95
6;2025-09-14;25416.21;pip;23676.91
7;2025-09-15;18301.55;granny vice which;28565.15
8;2025-09-15;23732.91;with handover trek;31029.7
9;2025-09-15;19700.95;around an;11463.54
10;2025-09-14;11680.26;freezing easily obligation;23115.03
