id;ceg_nev;ceg_rovid_azonosito;ceg_szekhely;adoszam;cegjegyzekszam;ceg_kozponti_email;ceg_kozponti_tel;statusz
1;circa before submitter;ironclad incidentally;concerning;advancement;colour acceptable;at up;acquire bogus;mid er
2;now very;rebuke orchid before;broken tempting;lightly;pfft;promise rust never;ick when to;yearly circumnavigate though
3;archaeology closely;gosh misguided than;yahoo usefully before;instead seldom hearten;mostly sleet following;quick-witted before;oh carelessly;unfortunately stock
4;next fervently trash;improbable;bah yippee tut;help;reschedule ew;knowledgeably beside usher;wherever easily;mundane
5;yawningly without qua;flight;up;upside-down;though minor;never boo;backbone;airbrush account
6;phooey;unlike substantial;suspiciously;ugh phooey;consequently contrast haircut;radiant postbox;gah;mmm
7;oh unimpressively following;drug;boohoo along;hm coarse ample;ew coliseum;as atop or;flash notwithstanding per;nor
8;however;tasty expensive hence;although despite;phew for bowling;delightfully freely;deeply service;uh-huh political;wilted corrupt
9;since quintuple;considering fruitful;yarmulke uh-huh;whose;eek;indeed whether upon;source solidly lest;ick kowtow
10;of greatly while;courageously;atop ew since;hearten;whenever whoever;epic venom;lazily into hm;confute ew masterpiece
