id;teljesitesi_idoszak_kezdete;teljesitesi_idoszak_vege;napok_szama;teljesites_igazolason_szereplo_osszeg;kapcsolodo_szamla_sorszam_rogzitve
1;2025-09-15;2025-09-15;1666;19382.53;false
2;2025-09-15;2025-09-14;14972;28773.23;true
3;2025-09-14;2025-09-15;7145;15016.98;true
4;2025-09-15;2025-09-15;4665;8680.18;false
5;2025-09-15;2025-09-15;22364;16148.06;false
6;2025-09-15;2025-09-15;15965;14451.55;false
7;2025-09-14;2025-09-15;31160;13036.68;true
8;2025-09-15;2025-09-15;26209;28792.84;false
9;2025-09-15;2025-09-14;7086;21218.6;true
10;2025-09-15;2025-09-15;3024;3272.37;false
